day,ppl,amount
2020/3/24,64404,3581180
2020/3/25,49000,3595916
2020/3/26,37711,3349072
2020/3/27,33588,3331635
2020/3/28,38392,4681060
2020/3/29,43998,4234714
2020/3/30,38802,4127964
2020/3/31,29978,4925146
2020/4/1,26778,4719420
2020/4/2,28745,4713455
2020/4/3,18875,5255315
2020/4/4,29291,6285320
2020/4/5,31985,5930455
2020/4/6,26482,5481077
2020/4/7,25813,5683719
2020/4/8,24703,5293323
2020/4/9,16113,5579079
2020/4/10,22086,7317621
2020/4/11,21580,7025284
2020/4/12,22362,6870013
2020/4/13,20612,7854494
2020/4/14,18248,7135515
2020/4/15,16434,8422244
2020/4/16,17073,7294356
2020/4/17,16817,9405876
2020/4/18,16915,7340209
2020/4/19,17307,6976114
2020/4/20,15203,9113932
2020/4/21,12882,7574019
2020/4/22,10515,7455369
2020/4/23,7596,6905938
2020/4/24,10092,8878274
2020/4/25,10927,6854014
2020/4/26,12735,6728241
2020/4/27,11257,9822366
2020/4/28,10363,7366843
2020/4/29,10119,7847552
2020/4/30,10770,9102096
2020/5/1,11517,1.01E+07
2020/5/2,11048,8217190
2020/5/3,11623,8225078
2020/5/4,10105,1.23E+07
2020/5/5,8848,8860384
2020/5/6,9153,8298032
2020/5/7,10408,8112688
2020/5/8,9058,9301311
2020/5/9,10844,8424248
2020/5/10,12314,7779523
2020/5/11,10885,1.28E+07
2020/5/12,9827,8977809
2020/5/13,10113,8578732
2020/5/14,9178,8036538
2020/5/15,7341,9533038
2020/5/16,9670,7451199
2020/5/17,10698,6684453
2020/5/18,9557,1.24E+07
2020/5/19,9251,7794453
2020/5/20,8955,7786570
2020/5/21,9483,7806863
2020/5/22,8421,8353511
2020/5/23,9583,7127115
2020/5/24,10652,7086105
2020/5/25,9334,1.29E+07
2020/5/26,8224,8353296
2020/5/27,7409,7307158
2020/5/28,7253,7094053
2020/5/29,5765,8159283
2020/5/30,8829,6785811
2020/5/31,8431,6364687
2020/6/1,7159,1.67E+07
2020/6/2,7588,8600735
2020/6/3,7128,7728653
2020/6/4,7097,7720538
2020/6/5,6133,7287852
2020/6/6,7540,6052382
2020/6/7,7137,6430619
2020/6/8,6094,1.52E+07
2020/6/9,6170,7935583
2020/6/10,5446,7272123
2020/6/11,5485,7317585
2020/6/12,5034,8803421
2020/6/13,7121,6647374
2020/6/14,7245,6009253
2020/6/15,6868,1.20E+07
2020/6/16,5859,5309818
2020/6/17,3544,5716887
2020/6/18,5032,6729120
2020/6/19,4700,6103452
2020/6/20,5809,5144529
2020/6/21,6706,5224041
2020/6/22,5906,1.05E+07
2020/6/23,5561,6162078
2020/6/24,5237,5952032
2020/6/25,4764,5817378
2020/6/26,4539,1.09E+07
2020/6/27,5299,8123553
2020/6/28,5774,7396306
2020/6/29,5260,1.01E+07
2020/6/30,4673,6513809
2020/7/1,4464,6109595
2020/7/2,5696,6124587
2020/7/3,6962,5010635
2020/7/4,7434,5057782
2020/7/5,7598,4829686
2020/7/6,6145,1.04E+07
2020/7/7,5469,5892237
2020/7/8,5212,5570406
2020/7/9,5232,5943018
2020/7/10,5137,4912850
2020/7/11,5564,4496503
2020/7/12,6439,3840467
2020/7/13,5640,8581951
2020/7/14,5312,5422930
2020/7/15,4934,5478785
2020/7/16,4127,5514541
2020/7/17,4049,8649705
2020/7/18,4467,7403749
2020/7/19,4917,7143741
2020/7/20,4542,6640602
2020/7/21,4016,4482914
2020/7/22,3447,4212713
2020/7/23,3230,4546246
2020/7/24,3433,4040321
2020/7/25,4191,3589499
2020/7/26,4293,3048400
2020/7/27,3682,6739143
2020/7/28,3248,4261565
2020/7/29,3438,3431387
2020/7/30,3461,4788405
2020/7/31,1840,8168614
2020/8/1,3251,6806008
2020/8/2,4108,5164431
2020/8/3,3391,6004855
2020/8/4,3240,3740800
2020/8/5,2945,3726943
2020/8/6,2907,4527849
2020/8/7,2506,3916893
2020/8/8,3138,3036896
2020/8/9,3731,2598305
2020/8/10,3621,5559832
2020/8/11,3704,3665716
2020/8/12,4165,3599185
2020/8/13,4268,4054383
2020/8/14,3935,6118084
2020/8/15,4370,5122754
2020/8/16,4666,5915121
2020/8/17,4286,4892412
2020/8/18,4120,3215344
2020/8/19,4160,3321860
2020/8/20,4339,3450120
2020/8/21,3729,6164972
2020/8/22,2796,5010840
2020/8/23,2862,4157826
2020/8/24,2523,3401994
2020/8/25,2278,3224335
2020/8/26,2156,3065482
2020/8/27,2491,2998425
2020/8/28,2882,4025423
2020/8/29,2716,4428950
2020/8/30,2681,4152165
2020/8/31,2483,3630473
2020/9/1,2381,3844303
2020/9/2,2326,3205802
2020/9/3,1885,2720646
2020/9/4,1632,4095790
2020/9/5,2149,3642279
2020/9/6,2254,3067961
2020/9/7,2114,3176061
2020/9/8,1917,2753257
2020/9/9,2072,2673285
2020/9/10,2068,2520627
2020/9/11,2076,3699107
2020/9/12,2547,3566663
2020/9/13,2567,4073257
2020/9/14,2034,2798314
2020/9/15,1766,2442456
2020/9/16,2177,2529313
2020/9/17,2134,2223361
2020/9/18,1677,2855690
2020/9/19,1965,2785783
2020/9/20,2042,3104698
2020/9/21,1595,3272349
2020/9/22,1386,2518682
2020/9/23,1265,2718738
2020/9/24,1270,2276224
2020/9/25,1189,2503334
2020/9/26,1757,2275964
2020/9/27,1826,2155252
2020/9/28,1099,5694355
2020/9/29,1172,4338381
2020/9/30,1227,4418760
2020/10/1,1528,4498121
2020/10/2,1361,2412916
2020/10/3,1313,2324741
2020/10/4,1362,2610000
2020/10/5,982,2490037
2020/10/6,994,1785124
2020/10/7,1006,2039820
2020/10/8,1224,2117683
2020/10/9,1327,2087486
2020/10/10,1421,1773115
2020/10/11,1438,1488891
2020/10/12,1353,2114783
2020/10/13,1083,1427402
2020/10/14,1028,1583409
2020/10/15,965,1728911
2020/10/16,951,3627286
2020/10/17,1191,2563580
2020/10/18,1320,3175515
2020/10/19,899,1924162
2020/10/20,829,1536388
2020/10/21,908,1870117
2020/10/22,801,1579258
2020/10/23,871,2263392
2020/10/24,1182,2124299
2020/10/25,1054,2101008
2020/10/26,1005,2073467
2020/10/27,1207,1915081
2020/10/28,1061,1742812
2020/10/29,888,1761220
2020/10/30,663,4839583
2020/10/31,906,3154862
2020/11/1,1069,3067002
2020/11/2,862,2853800
2020/11/3,833,2472156
2020/11/4,936,1678909
2020/11/5,864,1662474
2020/11/6,746,1608880
2020/11/7,926,1504120
2020/11/8,1118,1304637
2020/11/9,845,1703229
2020/11/10,697,1617336
2020/11/11,742,1283514
2020/11/12,626,1206757
2020/11/13,631,1506168
2020/11/14,580,1459102
2020/11/15,621,1261083
2020/11/16,660,2794205
2020/11/17,685,1826206
2020/11/18,869,2095377
2020/11/19,724,1222148
2020/11/20,481,1239072
2020/11/21,564,1630306
2020/11/22,623,1122669
2020/11/23,559,2133705
2020/11/24,543,1434289
2020/11/25,444,1580108
2020/11/26,434,1355878
2020/11/27,460,1986654
2020/11/28,572,2093059
2020/11/29,622,2600357
2020/11/30,461,1895472
2020/12/1,395,2014501
2020/12/2,419,1283936
2020/12/3,371,1801993
2020/12/4,361,1071930
2020/12/5,479,982218
2020/12/6,495,1005619
2020/12/7,393,2394143
2020/12/8,410,1834288
2020/12/9,413,1247868
2020/12/10,362,1292307
2020/12/11,419,1239170
2020/12/12,1450,1074049
2020/12/13,1762,900650
2020/12/14,1541,1518025
2020/12/15,1716,1159892
2020/12/16,1762,2586974
2020/12/17,1906,1854979
2020/12/18,1357,2041565
2020/12/19,1037,812058
2020/12/20,1244,602008
2020/12/21,892,2339475
2020/12/22,858,1305191
2020/12/23,825,1318451
2020/12/24,923,1548440
2020/12/25,1079,1296738
2020/12/26,666,886772
2020/12/27,611,686519
2020/12/28,560,1685541
2020/12/29,513,1293756
2020/12/30,526,2555280
2020/12/31,528,2030687
2021/1/1,654,2103601
2021/1/2,691,1626248
2021/1/3,742,1431029
2021/1/4,584,1186237
2021/1/5,645,856905
2021/1/6,613,981317
2021/1/7,575,1080710
2021/1/8,583,1092397
2021/1/9,622,1235858
2021/1/10,668,962591
2021/1/11,594,1152871
2021/1/12,573,600527
2021/1/13,617,876386
2021/1/14,512,927556
2021/1/15,455,1169218
2021/1/16,487,1962485
2021/1/17,591,1429862
2021/1/18,518,1699739
2021/1/19,534,733400
2021/1/20,549,921263
2021/1/21,534,1400949
2021/1/22,535,1414623
2021/1/23,630,1229564
2021/1/24,699,1542907
2021/1/25,538,1274701
2021/1/26,537,797718
2021/1/27,499,979401
2021/1/28,470,1080124
2021/1/29,423,1178446
2021/1/30,505,2119670
2021/1/31,432,1383724
2021/2/1,435,1696535
2021/2/2,411,1213131
2021/2/3,484,1216896
2021/2/4,408,905701
2021/2/5,391,1023610
2021/2/6,417,826061
2021/2/7,400,824389
2021/2/8,361,1594219
2021/2/9,362,1029370
2021/2/10,463,1146105
2021/2/11,490,1694207
2021/2/12,393,1142534
2021/2/13,513,1081295
2021/2/14,552,1309574
2021/2/15,446,1398865
2021/2/16,449,2151375
2021/2/17,493,1782331
2021/2/18,449,1367790
2021/2/19,439,992254
2021/2/20,470,762227
2021/2/21,479,925982
2021/2/22,391,1080483
2021/2/23,392,850940
2021/2/24,374,1027103
2021/2/25,386,1246484
2021/2/26,310,1064007
2021/2/27,376,1998070
2021/2/28,425,1238950
2021/3/1,351,1724880
2021/3/2,339,1118317
2021/3/3,313,1368100
2021/3/4,302,936742
2021/3/5,282,898681
2021/3/6,371,843629
2021/3/7,357,869732
2021/3/8,341,1117731
2021/3/9,346,697904
2021/3/10,329,784363
2021/3/11,307,873519
2021/3/12,279,995771
2021/3/13,334,1014076
2021/3/14,326,985304
2021/3/15,287,1260230
2021/3/16,265,1820295
2021/3/17,316,2061993
2021/3/18,327,1393304
2021/3/19,283,1196893
2021/3/20,303,1015354
2021/3/21,268,855295
2021/3/22,274,1539258
2021/3/23,342,1323244
2021/3/24,373,1296306
2021/3/25,302,1093934
2021/3/26,321,1553776
2021/3/27,355,1591963
2021/3/28,399,1534776
2021/3/29,347,1449143
2021/3/30,342,1964325
2021/3/31,295,1570463
2021/4/1,313,1398736
2021/4/2,586,1350942
2021/4/3,1541,1364120
2021/4/4,951,998449
2021/4/5,812,1196226
2021/4/6,1806,813982
2021/4/7,1636,919030
2021/4/8,1665,917507
2021/4/9,1796,916800
2021/4/10,2322,922893
2021/4/11,2182,934609
2021/4/12,2040,1161161
2021/4/13,2090,847153
2021/4/14,2211,821144
2021/4/15,2329,840361
2021/4/16,2051,1639897
2021/4/17,1858,1239264
2021/4/18,1893,1156214
2021/4/19,1543,1120375
2021/4/20,1816,1151249
2021/4/21,1863,1122671
2021/4/22,1663,1016145
2021/4/23,1652,1048594
2021/4/24,1815,1145573
2021/4/25,1943,1317121
2021/4/26,1464,817794
2021/4/27,1551,632012
2021/4/28,1393,968456
2021/4/29,1290,1626416
2021/4/30,1174,1427449
2021/5/1,1171,1162158
2021/5/2,780,2055551
2021/5/3,664,4481025
2021/5/4,660,3084201
2021/5/5,1692,1132391
2021/5/6,1662,729624
2021/5/7,1584,859503
2021/5/8,1904,827823
2021/5/9,1810,789953
2021/5/10,1474,1052571
2021/5/11,1201,886051
2021/5/12,1161,1064176
2021/5/13,1238,690958
2021/5/14,1242,858049
2021/5/15,1194,835100
2021/5/16,1361,1375952
2021/5/17,1199,1411440
2021/5/18,1253,1156796
2021/5/19,1262,670486
2021/5/20,1273,1657538
2021/5/21,1142,1059157
2021/5/22,1264,920799
2021/5/23,1220,929583
2021/5/24,1089,825761
2021/5/25,1070,734576
2021/5/26,1054,762605
2021/5/27,1227,734464
2021/5/28,1261,862834
2021/5/29,1475,711213
2021/5/30,1636,1168298
2021/5/31,1418,1227611
2021/6/1,1598,1193535
2021/6/2,1851,1050219
2021/6/3,2350,1166549
2021/6/4,2188,701282
2021/6/5,2330,982095
2021/6/6,2212,1058211
2021/6/7,1716,936756
2021/6/8,1605,605483
2021/6/9,1629,695700
2021/6/10,1864,809760
2021/6/11,1408,1029470
2021/6/12,1760,866991
2021/6/13,1689,839925
2021/6/14,1624,916864
2021/6/15,1410,779603
2021/6/16,1591,1594750
2021/6/17,1310,1002332
2021/6/18,1319,1452537
2021/6/19,1086,647375
2021/6/20,1051,735036
2021/6/21,900,1001319
2021/6/22,977,971412
2021/6/23,1138,770514
2021/6/24,1246,900306
2021/6/25,1091,1203759
2021/6/26,1253,1277134
2021/6/27,1502,1155656
2021/6/28,1348,727223
2021/6/29,1095,1342001
2021/6/30,1089,1026916
2021/7/1,1417,964710
2021/7/2,1381,1051889
2021/7/3,1376,1320261
2021/7/4,1296,787937
2021/7/5,1273,872118
2021/7/6,1336,632536
2021/7/7,1343,646275
2021/7/8,1345,755269
2021/7/9,1207,894424
2021/7/10,1292,860216
2021/7/11,1313,731654
2021/7/12,1315,792543
2021/7/13,1322,516194
2021/7/14,1251,609132
2021/7/15,1227,652944
2021/7/16,1255,1574293
2021/7/17,1170,874705
2021/7/18,1189,977206
2021/7/19,1157,857855
2021/7/20,1151,762997
2021/7/21,1163,654976
2021/7/22,1206,737101
2021/7/23,1309,819964
2021/7/24,1350,970827
2021/7/25,1378,881568
2021/7/26,1391,575365
2021/7/27,1371,531850
2021/7/28,1360,617349
2021/7/29,1341,759541
2021/7/30,1117,1472126
2021/7/31,1070,1094462
2021/8/1,1141,1021096
2021/8/2,1215,950902
2021/8/3,1385,806373
2021/8/4,1648,518225
2021/8/5,1530,555139
2021/8/6,2182,538843
2021/8/7,1151,699447
2021/8/8,1156,609611
2021/8/9,1002,775636
2021/8/10,1073,553049
2021/8/11,1027,511472
2021/8/12,1114,630873
2021/8/13,1094,622075
2021/8/14,1081,632410
2021/8/15,1259,629603
2021/8/16,1163,1466856
2021/8/17,1012,1174429
2021/8/18,954,868533
2021/8/19,926,582952
2021/8/20,867,710635
2021/8/21,1010,668517
2021/8/22,1071,686978
2021/8/23,1008,719988
2021/8/24,1257,491707
2021/8/25,1134,716587
2021/8/26,1119,583417
2021/8/27,1041,614910
2021/8/28,1030,556071
2021/8/29,1176,638847
2021/8/30,893,1275771
2021/8/31,910,790820
2021/9/1,871,734887
2021/9/2,905,764118
2021/9/3,960,879340
2021/9/4,1123,571110
2021/9/5,1104,648356
2021/9/6,801,729267
2021/9/7,760,549625
2021/9/8,1032,623180
2021/9/9,1010,649333
2021/9/10,913,711891
2021/9/11,1069,640080
2021/9/12,1058,541275
2021/9/13,703,649275
2021/9/14,757,482083
2021/9/15,840,589584
2021/9/16,619,1200653
2021/9/17,822,1024613
2021/9/18,924,844569
2021/9/19,878,519415
2021/9/20,681,700040
2021/9/21,748,672554
2021/9/22,653,484424
2021/9/23,723,557029
2021/9/24,829,670955
2021/9/25,901,771444
2021/9/26,936,879543
2021/9/27,741,442171
2021/9/28,813,398694
2021/9/29,1062,1082757
2021/9/30,932,917685
2021/10/1,874,750061
2021/10/2,1009,756513
2021/10/3,1148,691247
2021/10/4,910,528801
2021/10/5,1115,474361
2021/10/6,1140,642065
2021/10/7,1110,668403
2021/10/8,1242,722356
2021/10/9,1229,644147
2021/10/10,1210,607209
2021/10/11,891,844267
2021/10/12,914,414117
2021/10/13,894,463905
2021/10/14,902,351675
2021/10/15,912,418225
2021/10/16,979,1158371
2021/10/17,621,698782
2021/10/18,483,1063567
2021/10/19,483,423142
2021/10/20,1063,431652
2021/10/21,1139,393838
2021/10/22,830,407426
2021/10/23,747,468839
2021/10/24,513,388400
2021/10/25,378,676727
2021/10/26,686,572018
2021/10/27,801,530127
2021/10/28,845,496558
2021/10/29,994,548610
2021/10/30,1280,1277336
2021/10/31,1206,820019
2021/11/1,896,928377
2021/11/2,588,733428
2021/11/3,444,572598
2021/11/4,670,513211
2021/11/5,526,575252
2021/11/6,582,591088
2021/11/7,560,646119
2021/11/8,380,509353
2021/11/9,369,404942
2021/11/10,393,475010
2021/11/11,458,363675
2021/11/12,432,490864
2021/11/13,503,527545
2021/11/14,468,404239
2021/11/15,403,461305
2021/11/16,367,880853
2021/11/17,380,650897
2021/11/18,392,699546
2021/11/19,339,445060
2021/11/20,490,380223
2021/11/21,484,409775
2021/11/22,396,685313
2021/11/23,385,517835
2021/11/24,414,459348
2021/11/25,469,559164
2021/11/26,394,539200
2021/11/27,491,568005
2021/11/28,518,703408
2021/11/29,395,779097
2021/11/30,432,578701
2021/12/1,563,659097
2021/12/2,603,623874
2021/12/3,576,430468
2021/12/4,722,434421
2021/12/5,818,372064
2021/12/6,558,459918
2021/12/7,531,384901
2021/12/8,503,478304
2021/12/9,476,504696
2021/12/10,451,580736
2021/12/11,588,595053
2021/12/12,619,540685
2021/12/13,486,579774
2021/12/14,487,486134
2021/12/15,506,475486
2021/12/16,573,893772
2021/12/17,624,740930
2021/12/18,666,639537
2021/12/19,799,386458
2021/12/20,589,480523
2021/12/21,573,489415
2021/12/22,614,452560
2021/12/23,640,446569
2021/12/24,542,493508
2021/12/25,733,582287
2021/12/26,769,599531
2021/12/27,582,513197
2021/12/28,566,470431
2021/12/29,522,530982
2021/12/30,570,968758
2021/12/31,631,732626
2022/1/1,797,586756
2022/1/2,971,654248
2022/1/3,784,471594
2022/1/4,825,428725
2022/1/5,847,447347
2022/1/6,818,442132
2022/1/7,714,535134
2022/1/8,771,562382
2022/1/9,796,483892
2022/1/10,624,501423
2022/1/11,553,448092
2022/1/12,543,503896
2022/1/13,628,346253
2022/1/14,641,475293
2022/1/15,686,553227
2022/1/16,764,885368
2022/1/17,637,799762
2022/1/18,635,666863
2022/1/19,659,444227
2022/1/20,180,68470
2021/2/26,1885,5211471
2021/2/27,4035,5077715
2021/2/28,4667,6224789
2021/3/1,2375,6240597
2021/3/2,1155,13340963
2021/3/3,1343,6918847
2021/3/4,1681,5563069
2021/3/5,2545,5860825
2021/3/6,3952,5300871
2021/3/7,3662,5288352
2021/3/8,2521,5914438
2021/3/9,1619,8183703
2021/3/10,1471,4025759
2021/3/11,1716,3780344
2021/3/12,2264,4171929
2021/3/13,3992,4219269
2021/3/14,4288,4588804
2021/3/15,2442,3826720
2021/3/16,1212,15201657
2021/3/17,1365,11361075
2021/3/18,1795,9119398
2021/3/19,2596,8207045
2021/3/20,4871,7083119
2021/3/21,5049,6425668
2021/3/22,2823,7935066
2021/3/23,2075,7138118
2021/3/24,1809,4719232
2021/3/25,1889,4007677
2021/3/26,2328,4182170
2021/3/27,4892,4947762
2021/3/28,5304,3881583
2021/3/29,2858,3927087
2021/3/30,1458,15461353
2021/3/31,1383,6837038
2021/4/1,1682,7475529
2021/4/2,2790,5817659
2021/4/3,5477,5477914
2021/4/4,5605,4654972
2021/4/5,3870,5426770
2021/4/6,2255,8099070
2021/4/7,1857,4669583
2021/4/8,1807,4076453
2021/4/9,2803,3679327
2021/4/10,3568,3931071
2021/4/11,3971,3715912
2021/4/12,2408,3626273
2021/4/13,1066,13286033
2021/4/14,1186,7173385
2021/4/15,1299,5861131
2021/4/16,1754,5420032
2021/4/17,4713,4288609
2021/4/18,5105,3724423
2021/4/19,2185,4696041
2021/4/20,1586,6430321
2021/4/21,1526,3810032
2021/4/22,1947,3509406
2021/4/23,1951,3791283
2021/4/24,4601,5500749
2021/4/25,4960,4214898
2021/4/26,3017,4513702
2021/4/27,1334,12176650
2021/4/28,1517,10742591
2021/4/29,1978,12430950
2021/4/30,2472,13568531
2021/5/1,4027,11080931
2021/5/2,5267,8192172
2021/5/3,3209,9736540
2021/5/4,1873,8618883
2021/5/5,1641,5450766
2021/5/6,1566,5513289
2021/5/7,2419,5152278
2021/5/8,4065,5122228
2021/5/9,5068,4544601
2021/5/10,2673,4880840
2021/5/11,1165,9805208
2021/5/12,1423,7251176
2021/5/13,1659,4900056
2021/5/14,2665,4947877
2021/5/15,5074,5033076
2021/5/16,5848,4039109
2021/5/17,2690,4425566
2021/5/18,1707,5534083
2021/5/19,1412,3519935
2021/5/20,1306,3454821
2021/5/21,2277,3543040
2021/5/22,5095,3889446
2021/5/23,5897,3260689
2021/5/24,4368,3636431
