day,ppl,amount
2021/5/26,83927,7720624
2021/5/27,51463,7232220
2021/5/28,43510,7701548
2021/5/29,48846,7835046
2021/5/30,46092,9238911
2021/5/31,44016,9191811
2021/6/1,42090,9507571
2021/6/2,37735,9015848
2021/6/3,33954,9215588
2021/6/4,26156,10361690
2021/6/5,27131,10915755
2021/6/6,29199,10530982
2021/6/7,24247,9409586
2021/6/8,17999,9208629
2021/6/9,18179,9619035
2021/6/10,17897,14446702
2021/6/11,16956,13168761
2021/6/12,20213,11800188
2021/6/13,23340,11324539
2021/6/14,19961,10111856
2021/6/15,17966,8180090
2021/6/16,9823,7101145
2021/6/17,8866,8202658
2021/6/18,4581,8354589
2021/6/19,4170,11765324
2021/6/20,9222,10405424
2021/6/21,17205,9814365
2021/6/22,15509,7428660
2021/6/23,17065,7429521
2021/6/24,15345,6042795
2021/6/25,21313,22271807
2021/6/26,25148,13084269
2021/6/27,30120,12728503
2021/6/28,27726,11374170
2021/6/29,26243,11780417
2021/6/30,25397,11776443
2021/7/1,22211,11988123
2021/7/2,29459,11328289
2021/7/3,34434,10825762
2021/7/4,33487,14286642
2021/7/5,25157,11790006
2021/7/6,31496,16941020
2021/7/7,27249,15012012
2021/7/8,22509,13330178
2021/7/9,23867,14094281
2021/7/10,23007,9905212
2021/7/11,24028,10633914
2021/7/12,21374,9144340
2021/7/13,18989,8826002
2021/7/14,16412,10314506
2021/7/15,17671,24347560
2021/7/16,17016,16973749
2021/7/17,17478,16153329
2021/7/18,17273,15967959
2021/7/19,14157,15590171
2021/7/20,9571,10832286
2021/7/21,11066,11029370
2021/7/22,11130,10312424
2021/7/23,11182,25102629
2021/7/24,14935,14022417
2021/7/25,14312,14764452
2021/7/26,9559,13729783
2021/7/27,9427,8198927
2021/7/28,8650,9070357
2021/7/29,8277,8891612
2021/7/30,6531,27122847
2021/7/31,8894,16951855
2021/8/1,9792,15741560
2021/8/2,7693,14198282
2021/8/3,7860,7730857
2021/8/4,7388,9076970
2021/8/5,6596,7919102
2021/8/6,6951,15598722
2021/8/7,9544,10986542
2021/8/8,10023,12029200
2021/8/9,9662,9922077
2021/8/10,8137,7616951
2021/8/11,8886,12319422
2021/8/12,11539,9165228
2021/8/13,13982,19451270
2021/8/14,18454,15058010
2021/8/15,22441,15752997
2021/8/16,20600,14086481
2021/8/17,22268,8375895
2021/8/18,21780,7890065
2021/8/19,21062,17598879
2021/8/20,18793,13608117
2021/8/21,24900,11751482
2021/8/22,26755,12169194
2021/8/23,25657,9015774
2021/8/24,26923,10219876
2021/8/25,25916,22685165
2021/8/26,25153,16594592
2021/8/27,24945,16067186
2021/8/28,25334,14857218
2021/8/29,30176,13560567
2021/8/30,23662,12938983
2021/8/31,18740,14403985
2021/9/1,17357,15784154
2021/9/2,18857,11707900
2021/9/3,18562,12031986
2021/9/4,23271,12044270
2021/9/5,24313,16574565
2021/9/6,18996,12303715
2021/9/7,18864,13088893
2021/9/8,15647,11387945
2021/9/9,14584,18430065
2021/9/10,15770,14061878
2021/9/11,16982,13136098
2021/9/12,18159,12405779
2021/9/13,10533,10909486
2021/9/14,9668,10476663
2021/9/15,9531,16948387
2021/9/16,8607,11897021
2021/9/17,10845,12645152
2021/9/18,12722,11678456
2021/9/19,13182,11351986
2021/9/20,9956,9873300
2021/9/21,10133,9429996
2021/9/22,10201,10957128
2021/9/23,9621,6502893
2021/9/24,6862,25656920
2021/9/25,10290,16004821
2021/9/26,10346,13905507
2021/9/27,7505,12193321
2021/9/28,7736,12095866
2021/9/29,6985,12950702
2021/9/30,7703,11547848
2021/10/1,8698,11081657
2021/10/2,9853,10075030
2021/10/3,9961,15060140
2021/10/4,8505,9875708
2021/10/5,7240,9666542
2021/10/6,6727,9910064
2021/10/7,6620,15665096
2021/10/8,7570,11743943
2021/10/9,11482,10784910
2021/10/10,12077,9897216
2021/10/11,9287,9062633
2021/10/12,8624,9992148
2021/10/13,7866,10262678
2021/10/14,8157,12366165
2021/10/15,8655,11614910
2021/10/16,10410,10358791
2021/10/17,11095,9641521
2021/10/18,8326,12064593
2021/10/19,8161,8799552
2021/10/20,6995,10531899
2021/10/21,7191,15755809
2021/10/22,7249,12662580
2021/10/23,8757,10866222
2021/10/24,9309,10316177
2021/10/25,6301,9416373
2021/10/26,6398,10315608
2021/10/27,5379,10621742
2021/10/28,6139,12106606
2021/10/29,7367,10659863
2021/10/30,8644,9095103
2021/10/31,8167,9967685
2021/11/1,6716,8628728
2021/11/2,5896,7794820
2021/11/3,5412,7278602
2021/11/4,5186,16774903
2021/11/5,4770,11040439
2021/11/6,5609,9167651
2021/11/7,5700,7836469
2021/11/8,4113,7480782
2021/11/9,3936,9947719
2021/11/10,4101,8640958
2021/11/11,4470,12110362
2021/11/12,3970,8560751
2021/11/13,5254,7490527
2021/11/14,5598,8575756
2021/11/15,4407,7315047
2021/11/16,4051,5913557
2021/11/17,3285,11287357
2021/11/18,3770,15474641
2021/11/19,5402,9927663
2021/11/20,6199,9810329
2021/11/21,7179,8481245
2021/11/22,4196,7713431
2021/11/23,3578,7850695
2021/11/24,3644,7876007
2021/11/25,3825,9304231
2021/11/26,5354,8049923
2021/11/27,6937,7767076
2021/11/28,6232,12728814
2021/11/29,4435,8287882
2021/11/30,3764,7778916
2021/12/1,3375,8539140
2021/12/2,2925,9965673
2021/12/3,3477,8023120
2021/12/4,6405,6708176
2021/12/5,5142,7181940
2021/12/6,4363,7194517
2021/12/7,3851,6734264
2021/12/8,3410,6201521
2021/12/9,3064,13610457
2021/12/10,4645,9696590
2021/12/11,5842,7406079
2021/12/12,5240,6951637
2021/12/13,4034,5740352
2021/12/14,3208,5992266
2021/12/15,2965,6182337
2021/12/16,2761,7991584
2021/12/17,3906,6578760
2021/12/18,7162,6200950
2021/12/19,6811,6127321
2021/12/20,4666,6853232
2021/12/21,3984,5479493
2021/12/22,3586,6024255
2021/12/23,3519,18624946
2021/12/24,4572,12810539
2021/12/25,6264,9326560
2021/12/26,7158,8780871
2021/12/27,4719,7853880
2021/12/28,4572,7479536
2021/12/29,4873,8205810
2021/12/30,4795,9107123
2021/12/31,7685,6548743
2022/1/1,9363,6027717
2022/1/2,10207,7041920
2022/1/3,8419,6021864
2022/1/4,8830,5879129
2022/1/5,7845,6050648
2022/1/6,7966,10373258
2022/1/7,9476,7622734
2022/1/8,10017,6370892
2022/1/9,10289,6531163
2022/1/10,8724,7502923
2022/1/11,8913,6453642
2022/1/12,9191,6132051
2022/1/13,5698,15714098
2022/1/14,8384,11096977
2022/1/15,9185,10502943
2022/1/16,9533,8852209
2022/1/17,8771,8887861
2022/1/18,7725,7398159
2022/1/19,7095,7941825
2022/1/20,7572,13692922
2022/1/21,6830,9461787
2022/1/22,9522,8553337
2022/1/23,10405,8698136
2022/1/24,7064,7028866
2022/1/25,6560,7573144
2022/1/26,6179,7589270
2022/1/27,6357,10668325
2022/1/28,970,1391797
