ltv0,ltv1,ltv2
0.292987596,0.314090507,0.135941842
0.559436606,0.600244597,0.286548797
0.778021241,0.831655699,0.417631379
0.962180877,1.029308793,0.543207684
1.200964855,1.284155863,0.66751
1.365862769,1.461520905,0.790247503
1.541602402,1.647054856,0.920562496
1.70400976,1.819474158,1.046722279
1.832803441,1.962855182,1.149961149
1.954168241,2.089805281,1.242669479
2.082442616,2.226514838,1.345947564
2.280536924,2.430070468,1.427765561
2.396457475,2.552439995,1.511723111
2.500906988,2.662519771,1.588340524
2.597658954,2.766399052,1.671605377
2.677563708,2.854135788,1.7488542
2.760427254,2.944406705,1.820453151
2.842022945,3.034807566,1.896937953
2.923355036,3.121476205,1.978747791
3.002139122,3.204292801,2.064711988
3.085828328,3.29323638,2.128111946
3.156797927,3.369337342,2.191829885
3.228552582,3.446272207,2.253640715
3.29171575,3.51600217,2.313480927
3.36696313,3.598502924,2.373856656
3.430550089,3.667004631,2.429727012
3.493718323,3.738322644,2.484453059
3.554283428,3.803683401,2.544513786
3.608774782,3.866392544,2.609310202
3.669507736,3.932167318,2.689749561
3.734399615,4.002806324,2.752611221
3.798670319,4.073330275,2.815820703
3.858994131,4.140144953,2.875580354
3.916169028,4.203532868,2.929695045
3.968899241,4.259719504,2.982555056
4.023441461,4.31851696,3.032877183
4.081870972,4.382628225,3.083049111
4.128925701,4.434415947,3.136980565
4.181623915,4.490101077,3.185657764
4.240575667,4.55325373,3.234000543
4.28968632,4.607127047,3.282894145
4.343542461,4.663220921,3.333574375
4.390094912,4.712987757,3.388698319
4.441007342,4.770236488,3.45100056
4.485807902,4.820972929,3.520633148
4.533235062,4.87180907,3.579180656
4.578743837,4.921175466,3.63172365
4.621609684,4.970646216,3.677258699
4.672138885,5.023714525,3.726646088
4.711819923,5.069817116,3.777995244
4.751449085,5.113253992,3.833020662
4.790424673,5.157242711,3.882327146
4.82684847,5.197482861,3.929484692
4.862328601,5.238004292,3.972116652
4.895047983,5.273712633,4.016412149
4.938572363,5.31871342,4.065157826
4.973907631,5.358186895,4.118825954
5.01588739,5.403989936,4.16507787
5.053822184,5.445283558,4.211432955
5.094613737,5.488101829,4.258160984
5.136014861,5.53436311,4.298239735
5.166903918,5.570088595,4.335529081
5.205784938,5.610993079,4.376426438
5.237179016,5.645025187,4.415178359
5.280616013,5.690741628,4.452256308
5.319723321,5.732204088,4.492865818
5.359992987,5.776528124,4.531785281
5.397949315,5.81695979,4.571312196
5.428356466,5.85328755,4.605700429
5.473425542,5.89915502,4.648804425
5.508276785,5.935923144,4.699395402
5.539670336,5.970343295,4.739877236
5.570287425,6.003528317,4.780586985
5.599000198,6.034422557,4.826483417
5.62326719,6.062987738,4.866906548
5.651194498,6.092208301,4.903833771
5.681135512,6.122938084,4.943860944
