day,ppl,amount
2019/4/30,148470,8061217
2019/5/1,183173,14445862
2019/5/2,89506,11717086
2019/5/3,85139,13315286
2019/5/4,88192,13284682
2019/5/5,71158,15972525
2019/5/6,49994,14674215
2019/5/7,47239,14358291
2019/5/8,48896,12979394
2019/5/9,42660,9407405
2019/5/10,40289,19980002
2019/5/11,53671,12075350
2019/5/12,61167,12020828
2019/5/13,48932,11368985
2019/5/14,50522,11367799
2019/5/15,46659,11868315
2019/5/16,37313,10569126
2019/5/17,43491,12687597
2019/5/18,57619,10244728
2019/5/19,46751,23809504
2019/5/20,34186,11982104
2019/5/21,34931,10984785
2019/5/22,31521,11728302
2019/5/23,29137,11366053
2019/5/24,34582,12028596
2019/5/25,45645,11734109
2019/5/26,44715,9026220
2019/5/27,38317,10057520
2019/5/28,30692,8288042
2019/5/29,32173,24601122
2019/5/30,28947,15680697
2019/5/31,25434,16774401
2019/6/1,30035,14254169
2019/6/2,34037,13033342
2019/6/3,25261,13123249
2019/6/4,25348,8013755
2019/6/5,23002,7907258
2019/6/6,24966,13341837
2019/6/7,30936,10094559
2019/6/8,39775,10229198
2019/6/9,44381,11615170
2019/6/10,34859,12667720
2019/6/11,29277,11114926
2019/6/12,27333,13048713
2019/6/13,22246,29772701
2019/6/14,27032,21316503
2019/6/15,29998,17544759
2019/6/16,31087,15748351
2019/6/17,25348,15663972
2019/6/18,25938,13644385
2019/6/19,25874,15582796
2019/6/20,26924,13465822
2019/6/21,22019,11042916
2019/6/22,29911,10814660
2019/6/23,33329,9276826
2019/6/24,25004,19598453
2019/6/25,23745,19312236
2019/6/26,22462,20120712
2019/6/27,20575,15701166
2019/6/28,20151,17287219
2019/6/29,22637,15424667
2019/6/30,26893,13831171
2019/7/1,23305,14092483
2019/7/2,23521,14072552
2019/7/3,22680,11643069
2019/7/4,21347,11940340
2019/7/5,20651,12519525
2019/7/6,25229,12172486
2019/7/7,27701,11266357
2019/7/8,23796,12998556
2019/7/9,19825,27589424
2019/7/10,24190,17645186
2019/7/11,22823,16311665
2019/7/12,20767,16859338
2019/7/13,21424,16089668
2019/7/14,23799,13805315
2019/7/15,20955,12704006
2019/7/16,18174,29102257
2019/7/17,15592,12583712
2019/7/18,14388,11499513
2019/7/19,13930,11904032
2019/7/20,13597,11308668
2019/7/21,15180,10526992
2019/7/22,12615,8189758
2019/7/23,9849,34171568
2019/7/24,10752,19569880
2019/7/25,10624,17812515
2019/7/26,10709,17826762
2019/7/27,12400,15596889
2019/7/28,13904,13905332
2019/7/29,12534,16309256
2019/7/30,12093,11719269
2019/7/31,12008,9822564
2019/8/1,12093,10190833
2019/8/2,12049,9696920
2019/8/3,15480,10715473
2019/8/4,15663,9119766
2019/8/5,13631,10115130
2019/8/6,11718,39177148
2019/8/7,12934,21426115
2019/8/8,18320,18087516
2019/8/9,24317,18052016
2019/8/10,28364,15797790
2019/8/11,33142,15353491
